loading: alice.txt
stick, 4
moved 4
father 4
trouble 4
says 4
slates, 4
busily 4
trial 4
(alice 4
chin 4
dropped 4
no, 4
pardon!' 4
care 4
fast 4
argument 4
gardeners, 4
hookah 4
duchess: 4
while, 4
asleep 4
whispered 4
case 4
different 4
finish 4
seems 4
except 4
sight, 4
stand 4
quietly 4
shrinking 4
itself, 4
`very 4
say,' 4
know--' 4
rate 4
`i'd 4
eye 4
all,' 4
taken 4
hurry 4
nine 4
learn 4
garden 4
gardeners 4
short 4
held 4
strange 4
somebody 4
since 4
they'll 4
fallen 4
passed 4
reach 4
sometimes 4
nervous 4
capital 4
pictures 4
others 4
pack 4
evidence 4
question, 4
distance, 4
run 4
silence 4
himself 4
timidly, 4
things!' 4
puzzling 4
draw 4
sides 4
back, 4
she's 4
more, 4
led 4
sir, 4
high 4
hastily, 4
growing, 4
bill, 4
(the 4
shut 4
sing 4
conversation 4
hastily. 4
pig, 4
perfectly 4
herself; 4
face, 4
you'll 4
fear 4
nearer 4
meant 4
beat 4
please, 4
here?' 4
walk 4
drink 4
dinah 4
do,' 4
shan't 4
jury, 4
does 4
carried 4
screamed 4
tiny 4
minute, 4
witness 4
stay 4
again: 4
chance 4
could. 4
was,' 3
hanging 3
(which 3
lory 3
larger, 3
dear!' 3
decidedly, 3
mad.' 3
me! 3
solemn 3
tail 3
above 3
met 3
hers 3
shriek 3
rabbit-hole 3
`thank 3
breath, 3
brought 3
reply. 3
right, 3
is.' 3
that.' 3
certainly,' 3
youth, 3
tears, 3
green 3
speaking, 3
croquet 3
carefully, 3
`one 3
began. 3
(as 3
hearing 3
`perhaps 3
girls 3
legs 3
rabbit's 3
think--' 3
to, 3
evidence,' 3
mine 3
eagerly 3
`this 3
see: 3
grave 3
did,' 3
notion 3
lobsters 3
trial's 3
`only 3
ear. 3
`give 3
judge, 3
decided 3
of?' 3
game, 3
finger 3
sorts 3
confusion 3
do!' 3
hours 3
gryphon: 3
"you 3
child 3
catch 3
doth 3
`all 3
think,' 3
unfortunate 3
alas! 3
replied; 3
settled 3
remark. 3
she'll 3
sleepy 3
`please 3
verses 3
spread 3
foot, 3
possibly 3
shoulder 3
`just 3
said: 3
table. 3
for, 3
eagerly, 3
obliged 3
round. 3
howling 3
guessed 3
handed 3
hurry. 3
vanished 3
let's 3
saying, 3
managed 3
answered 3
is!' 3
lory, 3
none 3
tarts 3
filled 3
old, 3
french 3
box 3
dormouse. 3
`which 3
angry 3
wood. 3
over!' 3
shrill 3
nursing 3
confused 3
nose, 3
natural 3
indeed 3
tail, 3
interesting 3
happened 3
tucked 3
tails 3
wrote 3
next. 3
miles 3
eggs, 3
fire, 3
bringing 3
sounds 3
'em 3
checked 3
silent 3
caught 3
duchess. 3
venture 3
remained 3
now!' 3
duchess! 3
considered 3
show 3
teacup 3
bill's 3
`drink 3
sea, 3
sea. 3
side, 3
considering 3
turtle: 3
mary 3
tarts, 3
middle 3
little, 3
way. 3
`have 3
jurors 3
thing,' 3
dodo, 3
suppressed 3
dark 3
begin.' 3
`at 3
o'clock 3
five, 3
throw 3
right,' 3
mice 3
in?' 3
caterpillar, 3
face. 3
general 3
to?' 3
wonder?' 3
instantly 3
oh! 3
important 3
youth,' 3
king; 3
pointing 3
dish 3
day. 3
hunting 3
sound 3
away. 3
him: 3
duchess's 3
did, 3
`did 3
dinah, 3
nothing. 3
needn't 3
like,' 3
`hold 3
instance, 3
pleaded 3
loud 3
dream 3
`what's 3
paper 3
verdict,' 3
late 3
easily 3
all, 3
`because 3
stopped 3
eager 3
twice, 3
repeating 3
smaller, 3
story 3
difficulty 3
her; 3
expecting 3
fancy 3
bowed 3
whiting 3
executioner 3
before,' 3
`sure, 3
finding 3
fond 3
they'd 3
cry 3
you!' 3
tree 3
arches 3
head, 3
panther 3
knee, 3
`she's 3
them,' 3
lived 3
remark 3
letter, 3
forgetting 3
pressed 3
real 3
hoping 3
key, 3
funny 3
away, 3
grin, 3
rules 3
`let 3
moving 3
timid 3
yet, 3
edge 3
watching 3
officers 3
question. 3
pattering 3
shaped 3
often 3
wonderland 3
soup!' 3
savage 3
here.' 3
suit 3
tea,' 3
peeped 3
william 3
pocket, 3
putting 3
severely 3
`yes,' 3
boots 3
picked 3
other: 3
that: 3
said--' 3
indignantly. 3
e--e--evening, 3
larger 3
added, 3
nibbling 3
animals 3
crossed 3
high: 3
high. 3
high, 3
angrily. 3
angrily, 3
`nothing 3
frowning 3
gone, 3
mentioned 3
asking 3
court. 3
shaking 3
doing 3
old,' 3
appeared, 3
baby, 3
be,' 3
succeeded 3
curiosity. 3
gently 3
liked 3
`they're 3
hope 3
muttering 3
tossing 3
middle, 3
opening 3
staring 3
twinkling 3
bill! 3
appeared 3
alice! 3
down,' 3
beautiful, 3
digging 3
cook. 3
gloves, 3
less 3
size: 3
book 3
out-of-the-way 3
immediately 3
proper 3
politely, 3
noise 3
executed, 3
choked 3
aloud. 3
grunted 3
mushroom, 3
children, 3
girl 3
garden. 3
lobsters, 3
silent. 2
m--' 2
whose 2
presents 2
list 2
`let's 2
indeed,' 2
tears. 2
procession 2
pinch 2
shouting 2
me' 2
bill 2
majesty!' 2
chimney, 2
change, 2
violently, 2
story!' 2
assembled 2
now?' 2
half-past 2
glass. 2
glass, 2
cried. 2
puzzled. 2
leaves 2
listening, 2
changes 2
cheered, 2
angrily 2
over, 2
guests 2
violently 2
said; 2
hurt 2
`you'll 2
excellent 2
elbow 2
dormouse; 2
beautifully 2
shore, 2
mouth, 2
not.' 2
on.' 2
morcar, 2
wrong 2
lap 2
away!' 2
wink 2
wow!' 2
thimble, 2
order 2
executed 2
be?' 2
down. 2
down! 2
bread-and-butter 2
soo--oop 2
`no 2
`unimportant, 2
safe 2
loud, 2
together. 2
do.' 2
forgot 2
sang 2
`nobody 2
finished, 2
sighing 2
stamping 2
free 2
went. 2
went, 2
him! 2
encouraging 2
miserable 2
master 2
wildly 2
sure, 2
was: 2
floor, 2
inside, 2
rate, 2
shower 2
friend 2
well. 2
others. 2
chin. 2
do. 2
thoroughly 2
doors 2
`no,' 2
regular 2
"there 2
plenty 2
door. 2
dog 2
subject. 2
alice,) 2
them--and 2
air 2
squeaking 2
shutting 2
them.' 2
sky. 2
nicely 2
three-legged 2
them. 2
`speak 2
subject 2
pebbles 2
lessons,' 2
`oh! 2
weak 2
yet?' 2
picking 2
players 2
ring, 2
`wow! 2
him,' 2
go,' 2
witness.' 2
doubt, 2
royal 2
`'tis 2
quarrelling 2
apples, 2
belongs 2
deep, 2
lovely 2
threw 2
life 2
sadly. 2
mistake 2
over. 2
thought. 2
trees, 2
`--and 2
`stupid 2
forehead 2
`poison,' 2
barrowful 2
thoughts 2
guinea-pigs, 2
matters 2
(for, 2
bottle, 2
afraid, 2
minutes, 2
all: 2
serpent!' 2
easy 2
words:-- 2
quadrille 2
crown 2
confusing 2
ear 2
uncomfortable. 2
serpents 2
pinched 2
silent, 2
burn 2
mad?' 2
takes 2
best, 2
serpent, 2
yet.' 2
raised 2
shrill, 2
wasting 2
delighted 2
cauldron 2
interrupting 2
voices 2
fight 2
footman, 2
`treacle,' 2
offer 2
remarking 2
miss, 2
didn't!' 2
same, 2
cook, 2
remarked, 2
proved 2
hungry 2
candle 2
yourself.' 2
holding 2
not. 2
together 2
longed 2
personal 2
treading 2
remarkable 2
dance 2
mile 2
continued, 2
row 2
`really, 2
unpleasant 2
slowly, 2
fancied 2
we've 2
advantage 2
cool 2
else. 2
repeated, 2
falling 2
ground 2
water 2
nothing, 2
sending 2
here? 2
wherever 2
word, 2
here. 2
usually 2
here! 2
myself, 2
crimson 2
merely 2
mouse. 2
ever,' 2
wood 2
`my 2
`beautiful 2
longitude 2
wrong, 2
dispute 2
stole 2
entangled 2
trumpet, 2
listen. 2
grass, 2
bit,' 2
tale 2
no! 2
hare, 2
corner, 2
lonely 2
sooner 2
nor 2
done,' 2
entirely 2
up,' 2
catching 2
year 2
directions, 2
folded, 2
unrolled 2
invitation 2
players, 2
(`i 2
eye; 2
impossible 2
"come 2
life!' 2
speaking 2
much, 2
snatch 2
on: 2
editions 2
contemptuously. 2
flowers 2
bit. 2
bit, 2
earth. 2
coming. 2
themselves 2
`exactly 2
wandered 2
what? 2
voice; 2
neatly 2
so. 2
proud 2
say.' 2
salt 2
trembled 2
otherwise 2
`leave 2
curled 2
jury-box, 2
usual. 2
'tis 2
next! 2
next, 2
turns, 2
tea-party 2
around 2
"how 2
pennyworth 2
hasn't 2
come, 2
all.' 2
relief. 2
myself,' 2
cautiously 2
reading 2
man, 2
chorus. 2
lefthand 2
quiet 2
blasts 2
loudly 2
sulky 2
stretched 2
constant 2
custody 2
shriek, 2
cares 2
wants 2
direction 2
thousand 2
with,' 2
myself 2
life. 2
life, 2
`everybody 2
rubbing 2
it.) 2
well,' 2
`oh 2
changing 2
impatiently, 2
keeping 2
hurry; 2
impatiently: 2
moment's 2
summer 2
violent 2
asleep, 2
blow 2
dipped 2
then!' 2
civil 2
either, 2
struck 2
sea 2
generally, 2
knocking,' 2
william,' 2
earls 2
lady 2
first,' 2
`well! 2
twelve 2
learning 2
whiting,' 2
`tell 2
two. 2
"it" 2
muttered 2
think, 2
business 2
suppose?' 2
and--oh 2
mixed 2
out. 2
liked, 2
music.' 2
mark 2
thump! 2
mercia 2
fish 2
tone; 2
you. 2
you! 2
you? 2
longer 2
rush 2
are, 2
fish-footman 2
tones 2
cat: 2
words: 2
taste 2
certain 2
hearts. 2
watched 2
ill.' 2
it), 2
evening, 2
sobbing 2
week 2
`your 2
`sit 2
forget 2
caused 2
startled 2
laid 2
worse 2
think?' 2
joined 2
again:-- 2
then.' 2
returned 2
creature, 2
mabel, 2
extraordinary 2
business!' 2
`does 2
high,' 2
wine,' 2
kick 2
wretched 2
knows 2
dormouse,' 2
broke 2
`found 2
hour 2
sulkily 2
this:-- 2
(with 2
messages 2
days 2
bank, 2
creature 2
fancy, 2
`here! 2
lizard 2
for?' 2
pleasure 2
playing 2
cat's 2
smiling 2
passage, 2
`you'd 2
wash 2
difficult 2
all; 2
heavy 2
as, 2
anxious 2
missed 2
`--so 2
him. 2
imagine 2
"i'll 2
slipped 2
interrupted, 2
minutes. 2
guess 2
suddenly: 2
recovered 2
first; 2
`why?' 2
solemnly 2
lie 2
me.' 2
age, 2
raving 2
again.' 2
clear 2
gravely, 2
that! 2
`till 2
tree. 2
fine 2
know?' 2
`shall 2
hit 2
chimney 2
`one, 2
nibbled 2
secondly, 2
throwing 2
bark 2
`consider 2
learnt 2
smallest 2
book,' 2
knowing 2
timidly 2
there,' 2
mustard 2
learn! 2
became 2
drunk 2
silence, 2
hoarse 2
unfolded 2
simply 2
there. 2
collected 2
resting 2
what's 2
`turn 2
cake, 2
`fetch 2
delight, 2
fur 2
straight 2
nonsense!' 2
lizard, 2
use, 2
different!' 2
alone 2
sight: 2
sight 2
tells 2
mean,' 2
grand 2
on?' 2
yesterday 2
soup? 2
older 2
leaves, 2
person 2
often, 2
panting, 2
all?' 2
questions 2
using 2
crying 2
pigeon; 2
soup, 2
showing 2
pigeon, 2
pigeon. 2
distance. 2
follows 2
addressed 2
chorus 2
surprise, 2
duck 2
hurriedly 2
besides, 2
pale 2
quickly 2
witness!' 2
nowhere 2
sigh: 2
ann, 2
boy, 2
sad 2
verse,' 2
jurymen. 2
[later 2
atom 2
dull 2
directed 2
proves 2
side. 2
ordered 2
croquet.' 2
bread-and-butter, 2
ornamented 2
happens 2
before. 2
occurred 2
smiled 2
`suppose 2
age 2
back. 2
instantly, 2
splashing 2
cat,' 2
cupboards 2
grinned 2
grass 2
`lives 2
sent 2
presently 2
wind, 2
is,' 2
rattling 2
pig,' 2
far,' 2
race 2
leaning 2
concluded 2
bill,' 2
waited. 2
other; 2
giving 2
body 2
direction,' 2
busy 2
growl, 2
five! 2
heart 2
`take 2
singing 2
`explain 2
archbishop 2
rose-tree, 2
started 2
carrying 2
ashamed 2
us, 2
certainly: 2
procession, 2
meet 2
plate 2
pieces 2
wonderful 2
paws 2
six 2
instead 2
paw, 2
`why,' 2
allow 2
owl 2
move 2
king's 2
wow! 2
pool, 2
me?' 2
latitude 2
up.' 2
happened, 2
nobody, 2
back!' 2
tiptoe, 2
croquet-ground 2
soldiers, 2
remember,' 2
delightful 2
well?' 2
faces, 2
executions 2
tongue!' 2
flamingo 2
sobs 2
beheaded!' 2
time. 2
cause 2
time! 2
book, 2
attending 2
things, 2
much!' 2
sorrowful 2
blew 2
enough; 2
passion, 2
sadly 2
`after 2
love, 2
hush!' 2
enough, 2
`two 2
pale, 2
speak, 2
giddy.' 2
yawned 2
curiosity, 2
thoughtfully. 2
know!' 2
once.' 2
_i_ 2
deny 2
deeply, 2
upset 2
`go 2
painting 2
fact 2
bring 2
morning, 2
telling 2
one; 2
`ah! 2
`ah, 2
i!' 2
jar 2
tail. 2
crab, 2
means 2
doubtful 2
talking. 2
room!' 2
anything; 2
treacle 2
faces 2
again?' 2
once. 2
mind, 2
neither 2
cross-examine 2
this: 2
child!' 2
agree 2
sense, 2
kitchen 2
shoulders 2
replied: 2
king: 2
smoking 2
closed 2
wild 2
jurymen 2
sister, 2
mine,' 2
brightened 2
tumbling 2
`get 2
introduce 2
tasted 2
position 2
front 2
distant 2
parchment 2
majesty 2
`wake 2
came, 2
five 2
goldfish 2
confusion, 2
altogether, 2
authority 2
"what 2
turtle's 2
jury. 2
other. 2
swimming 2
teacups 2
honour!' 2
surprise. 2
mad. 2
place, 2
wise 2
signed 2
eyes. 2
this; 2
stirring 2
ordering 2
twist 2
trotting 2
useful, 2
like, 2
indeed, 2
again; 2
friends 2
rule 2
not!' 2
pardoned.' 1
draw,' 1
seated 1
behind?' 1
believed 1
extremely--' 1
saves 1
figure!' 1
knelt 1
ever; 1
ringlets 1
oldest 1
hate 1
consider 1
paris 1
(for 1
pardon, 1
up: 1
serpents! 1
teaching 1
larger: 1
dear!" 1
tears! 1
coaxing. 1
otherwise, 1
been. 1
i,' 1
i--' 1
rise 1
(`which 1
advice, 1
educations--in 1
remarks 1
today. 1
fireplace 1
angry. 1
follows:-- 1
prize 1
wooden 1
whispered, 1
solid 1
persisted 1
straightened 1
mouths. 1
oblong 1
favoured 1
ever: 1
here; 1
fond--of--of 1
pat! 1
louder 1
audibly. 1
eleventh 1
locked; 1
pat, 1
machines 1
shining 1
meekly 1
languid, 1
hide 1
nodded. 1
particular. 1
march--just 1
conduct 1
glass; 1
processions; 1
wings. 1
dreadful 1
can,' 1
wrapping 1
animals, 1
spoon 1
`drive 1
execution.' 1
ask. 1
daughter 1
finger; 1
worse. 1
mouths; 1
pieces. 1
joys, 1
smoke 1
encourage 1
otherwise."' 1
purple. 1
xii 1
fly; 1
then--always 1
feelings 1
patience 1
oyster!' 1
drowned 1
punching 1
brush, 1
humbly; 1
reply, 1
impatient 1
`swim 1
conversation?' 1
crash, 1
pulling 1
door-- 1
creatures, 1
insult 1
remembering 1
therefore 1
footman. 1
caterpillar's 1
inquisitively, 1
breathe 1
dry, 1
peeping 1
`pepper, 1
off; 1
are,' 1
this!' 1
game's 1
"uglification,"' 1
ma 1
books, 1
english!' 1
obstacle 1
faster, 1
arranged; 1
laughter. 1
day,' 1
quiver 1
unjust 1
m?' 1
shore. 1
mouth; 1
door--i 1
through,' 1
shrieks, 1
yet--and 1
`until 1
mournfully. 1
around, 1
court!' 1
complaining 1
crumbs 1
owl, 1
truthful 1
clever?' 1
somebody, 1
poker 1
laugh; 1
flustered 1
mouths 1
returning, 1
caucus-race 1
(dinah 1
together!' 1
mean, 1
cautiously: 1
attempt 1
ladder?--why, 1
creatures,' 1
talk: 1
respect. 1
head's 1
grant 1
advantage,' 1
hollow 1
wriggling 1
sun. 1
carrier,' 1
sharply; 1
sprawling 1
dormouse!' 1
memorandum 1
dreamed 1
`--for 1
parts 1
rome--no, 1
hair." 1
xi 1
london 1
mabel 1
`chop 1
effect: 1
somewhere 1
knocking, 1
fix 1
ready? 1
then; 1
sad?' 1
then? 1
glanced 1
enough.' 1
pass 1
overcome 1
drawling, 1
turtles, 1
slate 1
that'll 1
belt 1
break 1
plates 1
interrupt 1
strings: 1
more--as 1
terror. 1
were', 1
`curiouser 1
list, 1
alternately 1
uncivil. 1
question,' 1
roast 1
denied, 1
kind,' 1
guilt,' 1
sweet-tempered. 1
prisoner 1
lifted 1
telescope 1
series 1
cards: 1
talk!' 1
uneasily, 1
telescope! 1
carry 1
exclaimed. 1
`digging 1
flock 1
blows 1
reminding 1
velvet 1
words.' 1
finished. 1
fellows 1
content 1
millennium 1
death."' 1
is! 1
question; 1
day! 1
it!--that 1
splashed 1
trial.' 1
like"!' 1
occasionally; 1
perhaps,' 1
particular-- 1
`can 1
whereupon 1
sea-shore--' 1
mallets 1
two--" 1
twice--' 1
enormous 1
go. 1
`tut, 1
shelves 1
cackled 1
go! 1
duck. 1
house!' 1
began: 1
arithmetic-- 1
moved. 1
hopeless 1
nasty, 1
tied 1
picture.) 1
footsteps 1
fellow! 1
waistcoat- 1
baby: 1
explained,' 1
yourself,' 1
too, 1
for.' 1
feeling!' 1
fun!' 1
grief, 1
cushion, 1
thoughtfully 1
thick 1
too: 1
shoulders. 1
awfully 1
prison,' 1
taller, 1
he'll 1
sobs, 1
sure! 1
sobs. 1
grumbled: 1
dogs 1
consented 1
ran. 1
folded 1
was) 1
you,"' 1
was! 1
`repeat, 1
floor: 1
chin: 1
positively 1
air! 1
to? 1
creatures. 1
elegant 1
confusing.' 1
hearth 1
splendidly 1
flame 1
air: 1
mouse!') 1
begin, 1
`up, 1
queen!' 1
heads. 1
yet--oh! 1
`same 1
well, 1
manner 1
variations. 1
well! 1
lullaby 1
circle, 1
writing-desks, 1
mostly 1
up!' 1
pardon,' 1
do: 1
subjects 1
soup. 1
laughed 1
treat. 1
long; 1
`look 1
doze; 1
askance-- 1
long, 1
antipathies, 1
promising, 1
feeble, 1
him; 1
zealand 1
subject! 1
shingle--will 1
alarm 1
letters. 1
`unless 1
doing!' 1
gloves--that 1
flapper 1
door; 1
door: 1
decidedly 1
knock, 1
lessons: 1
little!' 1
lewis 1
man,' 1
sneezing, 1
sneezing. 1
ending 1
lessons, 1
ringlets, 1
slate--oh, 1
earth 1
sir,' 1
be!' 1
hedgehogs, 1
spite 1
eye, 1
never') 1
glass.) 1
slates. 1
nervous, 1
spoke; 1
offended!' 1
roses. 1
deepest 1
rich 1
green, 1
haven't,' 1
anger, 1
mine.' 1
change: 1
story.' 1
wide 1
about; 1
empty: 1
coast 1
patted 1
label, 1
altogether 1
window!' 1
learned 1
cards!' 1
places!' 1
them: 1
licking 1
twice 1
bad 1
softly 1
signify: 1
cats.' 1
do?' 1
`"what 1
shoes!' 1
laughing: 1
fair 1
clearly,' 1
offended. 1
offended, 1
twelve? 1
means.' 1
depends 1
submitted 1
`we're 1
cattle 1
was.' 1
sun, 1
sorrows, 1
pocket 1
finish, 1
stairs! 1
game. 1
curious.' 1
dish? 1
toffee, 1
claws 1
reasons. 1
terms 1
from,' 1
mine--a 1
gryphon; 1
camomile 1
listen, 1
seriously, 1
true--" 1
`dear, 1
improve 1
pity 1
accident 1
box-- 1
mystery,' 1
sort. 1
country 1
cup 1
him), 1
natural); 1
games 1
longer!' 1
ambition, 1
directly. 1
pet: 1
wags 1
them--' 1
is--"be 1
dropped, 1
rapidly; 1
rapidly: 1
doubt: 1
dinah!' 1
now. 1
`stolen!' 1
ceiling, 1
proposal. 1
chimneys 1
sh!' 1
bat?' 1
wood,' 1
normans--" 1
pounds! 1
room! 1
arm-chair 1
bit.' 1
uncommon 1
queen! 1
time?' 1
speaker,' 1
puzzled, 1
lizard's 1
`ugh!' 1
save 1
promise. 1
toast,) 1
tried. 1
first--they 1
`important--unimportant-- 1
muchness?' 1
ask: 1
ugly 1
zigzag, 1
neat 1
viii 1
difficulty, 1
holding, 1
stopping 1
duchess?' 1
over) 1
played 1
desperately: 1
chrysalis--you 1
stiff. 1
iv 1
ii 1
over; 1
clinging 1
thought; 1
growl 1
alarm. 1
soldier 1
passed; 1
finger, 1
linked 1
adventures, 1
isn't,' 1
advisable--"' 1
lobster; 1
used--and 1
axes,' 1
i? 1
ask! 1
tops 1
grammar, 1
less,' 1
delight 1
marched 1
expected: 1
i, 1
